Date,Open,High,Low,Close,Volume,OI
2012-05-31 00:00:00,4.0,4.0,3.7,3.7,1159709300,0
2012-06-01 00:00:00,3.7,3.72,3.3,3.3,376302500,0
2012-06-05 00:00:00,3.28,3.36,3.04,3.04,282165000,0
2012-06-06 00:00:00,3.12,3.32,3.1,3.24,260005300,0
2012-06-07 00:00:00,3.3,3.38,3.12,3.12,198174900,0
2012-06-08 00:00:00,3.14,3.18,3.12,3.14,40641800,0
2012-06-11 00:00:00,3.2,3.32,3.18,3.28,97382100,0
2012-06-12 00:00:00,3.22,3.5,3.22,3.46,191659900,0
2012-06-13 00:00:00,3.46,3.48,3.36,3.36,106480800,0
2012-06-14 00:00:00,3.36,3.38,3.28,3.32,71738000,0
2012-06-15 00:00:00,3.36,3.48,3.34,3.42,99295100,0
2012-06-18 00:00:00,3.48,3.48,3.36,3.36,61209300,0
2012-06-19 00:00:00,3.38,3.44,3.38,3.4,20310200,0
2012-06-20 00:00:00,3.44,3.52,3.42,3.44,82848000,0
2012-06-21 00:00:00,3.44,3.46,3.4,3.4,46381400,0
2012-06-22 00:00:00,3.38,3.4,3.36,3.4,18605900,0
2012-06-25 00:00:00,3.44,3.46,3.38,3.38,35635700,0
2012-06-26 00:00:00,3.4,3.44,3.38,3.38,23395500,0
2012-06-27 00:00:00,3.4,3.48,3.4,3.44,52023600,0
2012-06-28 00:00:00,3.44,3.46,3.38,3.42,27832300,0
2012-06-29 00:00:00,3.42,3.44,3.4,3.4,21202700,0
2012-07-02 00:00:00,3.42,3.44,3.38,3.38,23706400,0
2012-07-03 00:00:00,3.4,3.42,3.36,3.38,20744300,0
2012-07-04 00:00:00,3.42,3.62,3.38,3.6,178994200,0
2012-07-05 00:00:00,3.64,3.72,3.6,3.7,156498400,0
2012-07-06 00:00:00,3.68,3.7,3.62,3.66,52171500,0
2012-07-09 00:00:00,3.66,3.66,3.62,3.64,18972000,0
2012-07-10 00:00:00,3.66,3.76,3.64,3.74,94271400,0
2012-07-11 00:00:00,3.72,3.74,3.68,3.68,46644600,0
2012-07-12 00:00:00,3.64,3.66,3.56,3.56,50355100,0
2012-07-13 00:00:00,3.58,3.68,3.56,3.64,29259800,0
2012-07-16 00:00:00,3.68,3.74,3.66,3.68,36926800,0
2012-07-17 00:00:00,3.7,3.7,3.66,3.68,18721900,0
2012-07-18 00:00:00,3.68,3.68,3.62,3.68,24800900,0
2012-07-19 00:00:00,3.68,3.74,3.64,3.66,53955700,0
2012-07-20 00:00:00,3.68,3.68,3.62,3.62,12708100,0
2012-07-23 00:00:00,3.58,3.58,3.52,3.54,31265300,0
2012-07-24 00:00:00,3.54,3.58,3.52,3.52,14487300,0
2012-07-25 00:00:00,3.54,3.54,3.4,3.46,29066100,0
2012-07-26 00:00:00,3.48,3.56,3.48,3.5,31491200,0
2012-07-27 00:00:00,3.56,3.58,3.5,3.52,34617700,0
2012-07-30 00:00:00,3.54,3.56,3.48,3.48,14566100,0
2012-07-31 00:00:00,3.5,3.52,3.42,3.42,26383200,0
2012-08-01 00:00:00,3.44,3.48,3.38,3.42,29671800,0
2012-08-03 00:00:00,3.42,3.44,3.4,3.42,9801200,0
2012-08-06 00:00:00,3.46,3.52,3.42,3.52,47452500,0
2012-08-07 00:00:00,3.58,3.62,3.52,3.54,55463400,0
2012-08-08 00:00:00,3.56,3.58,3.52,3.54,27786000,0
2012-08-09 00:00:00,3.6,3.72,3.52,3.56,204372900,0
2012-08-10 00:00:00,3.54,3.56,3.42,3.46,120963700,0
2012-08-14 00:00:00,3.5,3.58,3.46,3.56,45571000,0
2012-08-15 00:00:00,3.56,3.64,3.56,3.6,72006600,0
2012-08-16 00:00:00,3.64,3.66,3.58,3.6,50334700,0
2012-08-17 00:00:00,3.62,3.64,3.5,3.52,70339600,0
2012-08-20 00:00:00,3.52,3.56,3.5,3.56,19496500,0
2012-08-21 00:00:00,3.56,3.58,3.52,3.54,27267500,0
2012-08-22 00:00:00,3.54,3.58,3.5,3.52,39214500,0
2012-08-23 00:00:00,3.54,3.56,3.5,3.52,29499500,0
2012-08-24 00:00:00,3.5,3.54,3.46,3.46,37165500,0
2012-08-27 00:00:00,3.5,3.5,3.42,3.44,39221700,0
2012-08-28 00:00:00,3.44,3.46,3.42,3.42,10747400,0
2012-08-29 00:00:00,3.44,3.48,3.44,3.46,33776900,0
2012-08-30 00:00:00,3.48,3.48,3.42,3.44,23051600,0
2012-08-31 00:00:00,3.44,3.48,3.42,3.46,10608200,0
2012-09-03 00:00:00,3.46,3.48,3.44,3.46,9016000,0
2012-09-04 00:00:00,3.48,3.48,3.44,3.44,19367100,0
2012-09-05 00:00:00,3.44,3.46,3.4,3.42,11466000,0
2012-09-06 00:00:00,3.46,3.46,3.42,3.44,11607100,0
2012-09-07 00:00:00,3.46,3.58,3.44,3.5,105695600,0
2012-09-10 00:00:00,3.52,3.54,3.48,3.5,26515900,0
2012-09-11 00:00:00,3.48,3.6,3.48,3.52,99747500,0
2012-09-12 00:00:00,3.54,3.7,3.54,3.66,232221200,0
2012-09-13 00:00:00,3.68,3.72,3.6,3.62,125573500,0
2012-09-14 00:00:00,3.7,3.82,3.66,3.8,255317200,0
2012-09-17 00:00:00,3.8,3.82,3.7,3.74,140938600,0
2012-09-18 00:00:00,3.74,3.84,3.74,3.84,135012400,0
2012-09-19 00:00:00,3.86,4.08,3.82,3.98,302841600,0
2012-09-20 00:00:00,3.98,4.06,3.94,3.94,121360900,0
2012-09-21 00:00:00,3.98,4.14,3.96,4.14,188761800,0
2012-09-24 00:00:00,4.16,4.22,4.04,4.1,147607700,0
2012-09-25 00:00:00,4.12,4.24,4.1,4.22,131812700,0
2012-09-26 00:00:00,4.18,4.22,4.08,4.14,91687400,0
2012-09-27 00:00:00,4.16,4.32,4.14,4.28,121754700,0
2012-09-28 00:00:00,4.3,4.34,4.26,4.28,47651200,0
2012-10-01 00:00:00,4.3,4.44,4.28,4.36,134953500,0
