Date,Open,High,Low,Close,Volume,OI
2013-09-27 00:00:00,10.6,10.8,10.3,10.6,16727800,0
2013-09-30 00:00:00,10.5,10.5,10.4,10.5,1180800,0
2013-10-01 00:00:00,10.5,10.5,10.4,10.5,705800,0
2013-10-02 00:00:00,10.4,10.5,10.4,10.4,595500,0
2013-10-03 00:00:00,10.4,10.5,10.4,10.5,604400,0
2013-10-04 00:00:00,10.4,10.5,10.4,10.4,367800,0
2013-10-07 00:00:00,10.4,10.4,10.3,10.4,424900,0
2013-10-08 00:00:00,10.4,10.5,10.3,10.5,725000,0
2013-10-09 00:00:00,10.4,10.5,10.3,10.4,342000,0
2013-10-10 00:00:00,10.4,10.4,10.3,10.3,228700,0
2013-10-11 00:00:00,10.4,10.4,10.3,10.4,495900,0
2013-10-14 00:00:00,10.3,10.4,10.3,10.4,213500,0
2013-10-15 00:00:00,10.4,10.4,10.3,10.4,425300,0
2013-10-16 00:00:00,10.4,10.4,10.3,10.4,75900,0
2013-10-17 00:00:00,10.3,10.4,10.3,10.4,203200,0
2013-10-18 00:00:00,10.4,10.4,10.3,10.4,179500,0
2013-10-21 00:00:00,10.3,10.4,10.3,10.4,464000,0
2013-10-22 00:00:00,10.3,10.4,10.3,10.3,288800,0
2013-10-24 00:00:00,10.4,10.4,10.3,10.4,92200,0
2013-10-25 00:00:00,10.3,10.4,10.3,10.4,327800,0
2013-10-28 00:00:00,10.3,10.4,10.3,10.3,276300,0
2013-10-29 00:00:00,10.3,10.4,10.3,10.4,150800,0
2013-10-30 00:00:00,10.3,10.4,10.3,10.3,633900,0
2013-10-31 00:00:00,10.3,10.4,10.3,10.3,249900,0
2013-11-01 00:00:00,10.3,10.3,10.3,10.3,323400,0
2013-11-04 00:00:00,10.3,10.3,10.2,10.3,797100,0
2013-11-05 00:00:00,10.3,10.3,10.2,10.3,316500,0
2013-11-06 00:00:00,10.3,10.3,10.2,10.3,148300,0
2013-11-07 00:00:00,10.3,10.4,10.2,10.3,401700,0
2013-11-08 00:00:00,10.3,10.3,10.2,10.3,223400,0
2013-11-11 00:00:00,10.2,10.3,10.2,10.3,280200,0
2013-11-12 00:00:00,10.3,10.4,10.3,10.3,228900,0
2013-11-13 00:00:00,10.3,10.3,10.3,10.3,135300,0
2013-11-14 00:00:00,10.3,10.3,10.3,10.3,210500,0
2013-11-15 00:00:00,10.3,10.4,10.3,10.3,121000,0
2013-11-18 00:00:00,10.3,10.3,10.3,10.3,124900,0
2013-11-19 00:00:00,10.2,10.3,10.2,10.3,709800,0
2013-11-20 00:00:00,10.2,10.3,10.2,10.3,21300,0
2013-11-21 00:00:00,10.2,10.3,10.2,10.3,556000,0
2013-11-22 00:00:00,10.3,10.3,10.2,10.2,581400,0
2013-11-25 00:00:00,10.2,10.3,10.2,10.2,117900,0
2013-11-26 00:00:00,10.2,10.3,10.2,10.3,116400,0
2013-11-27 00:00:00,10.2,10.3,10.2,10.3,85200,0
2013-11-28 00:00:00,10.3,10.3,10.2,10.2,42400,0
2013-11-29 00:00:00,10.2,10.3,10.2,10.2,54000,0
2013-12-02 00:00:00,10.2,10.2,10.2,10.2,47800,0
2013-12-03 00:00:00,10.2,10.3,10.2,10.3,115000,0
2013-12-04 00:00:00,10.3,10.3,10.2,10.2,156200,0
2013-12-06 00:00:00,10.3,10.3,10.2,10.3,133700,0
2013-12-09 00:00:00,10.2,10.3,10.2,10.2,372500,0
2013-12-11 00:00:00,10.2,10.2,10.2,10.2,77000,0
2013-12-12 00:00:00,10.2,10.3,10.2,10.2,45300,0
2013-12-13 00:00:00,10.2,10.2,10.2,10.2,449900,0
2013-12-16 00:00:00,10.2,10.2,10.1,10.1,85500,0
2013-12-17 00:00:00,10.2,10.2,10.1,10.2,127000,0
2013-12-18 00:00:00,10.2,10.2,10.1,10.2,44000,0
2013-12-19 00:00:00,10.2,10.2,10.1,10.2,46700,0
2013-12-20 00:00:00,10.1,10.2,10.1,10.1,25300,0
2013-12-23 00:00:00,10.1,10.2,10.1,10.2,653300,0
2013-12-24 00:00:00,10.2,10.3,10.2,10.2,121500,0
2013-12-25 00:00:00,10.2,10.2,10.2,10.2,153700,0
2013-12-26 00:00:00,10.2,10.2,10.1,10.1,91600,0
2013-12-27 00:00:00,10.1,10.3,10.1,10.3,303800,0
2014-01-02 00:00:00,10.1,10.1,10.0,10.1,278900,0
2014-01-03 00:00:00,10.0,10.0,9.95,10.0,264100,0
2014-01-06 00:00:00,9.95,10.0,9.95,10.0,56600,0
2014-01-07 00:00:00,10.0,10.0,9.95,10.0,89000,0
2014-01-08 00:00:00,9.95,10.0,9.95,9.95,20700,0
2014-01-09 00:00:00,10.0,10.0,9.9,10.0,156300,0
2014-01-10 00:00:00,9.95,10.0,9.95,9.95,28000,0
2014-01-13 00:00:00,9.95,9.95,9.85,9.95,153300,0
2014-01-14 00:00:00,9.95,10.0,9.95,10.0,76800,0
2014-01-15 00:00:00,10.0,10.0,9.9,9.95,108300,0
2014-01-16 00:00:00,9.95,9.95,9.9,9.95,93700,0
2014-01-17 00:00:00,9.95,9.95,9.9,9.9,225800,0
2014-01-20 00:00:00,9.95,9.95,9.85,9.9,31200,0
2014-01-21 00:00:00,9.9,9.95,9.9,9.9,47000,0
2014-01-22 00:00:00,9.9,9.9,9.9,9.9,54600,0
2014-01-23 00:00:00,9.95,10.0,9.95,10.0,180300,0
2014-01-24 00:00:00,10.0,10.0,10.0,10.0,185800,0
2014-01-27 00:00:00,10.1,10.1,10.0,10.0,98900,0
2014-01-28 00:00:00,10.0,10.1,10.0,10.0,208500,0
2014-01-29 00:00:00,10.1,10.1,10.0,10.1,91500,0
2014-01-30 00:00:00,10.1,10.2,10.1,10.1,134300,0
2014-01-31 00:00:00,10.2,10.2,10.2,10.2,78800,0
2014-02-03 00:00:00,10.2,10.3,10.2,10.3,65100,0
