Date,Open,High,Low,Close,Volume,OI
2005-12-14 00:00:00,3.85,3.95,3.4,3.4,20971104,0
2005-12-15 00:00:00,3.5,3.65,3.45,3.6,3322700,0
2005-12-16 00:00:00,3.55,3.6,3.475,3.475,357000,0
2005-12-19 00:00:00,3.5,3.65,3.5,3.6,743100,0
2005-12-20 00:00:00,3.65,3.65,3.4,3.4,962800,0
2005-12-21 00:00:00,3.425,3.525,3.425,3.5,33000,0
2005-12-22 00:00:00,3.475,3.5,3.425,3.5,88200,0
2005-12-23 00:00:00,3.45,3.45,2.75,3.4,52800,0
2005-12-26 00:00:00,3.475,3.475,3.3,3.4,34000,0
2005-12-27 00:00:00,3.375,3.4,3.35,3.4,6000,0
2005-12-28 00:00:00,3.4,3.4,3.4,3.4,5000,0
2005-12-29 00:00:00,3.4,3.425,3.4,3.425,11500,0
2005-12-30 00:00:00,3.4,3.425,3.4,3.425,14000,0
2006-01-03 00:00:00,3.4,3.425,3.25,3.4,67600,0
2006-01-04 00:00:00,3.3,3.35,3.3,3.35,5000,0
2006-01-05 00:00:00,3.325,3.4,3.25,3.4,16300,0
2006-01-06 00:00:00,3.325,3.475,3.325,3.475,58500,0
2006-01-09 00:00:00,3.4,3.45,3.3,3.375,24000,0
2006-01-10 00:00:00,3.4,3.425,3.375,3.425,758000,0
2006-01-11 00:00:00,3.425,3.45,3.425,3.425,30100,0
2006-01-12 00:00:00,3.425,3.45,3.35,3.375,58000,0
2006-01-13 00:00:00,3.375,3.5,3.375,3.425,62000,0
2006-01-16 00:00:00,3.425,3.45,3.4,3.4,7500,0
2006-01-17 00:00:00,3.425,3.45,3.4,3.4,14500,0
2006-01-18 00:00:00,3.425,3.475,3.4,3.4,18000,0
2006-01-19 00:00:00,3.425,3.45,3.375,3.375,11000,0
2006-01-20 00:00:00,3.425,3.525,3.25,3.45,166500,0
2006-01-25 00:00:00,3.4,3.425,3.35,3.425,28500,0
2006-01-26 00:00:00,3.4,3.425,3.375,3.375,33000,0
2006-01-27 00:00:00,3.375,3.4,3.375,3.4,6000,0
2006-01-30 00:00:00,3.4,3.45,3.35,3.45,20000,0
2006-01-31 00:00:00,3.425,3.425,3.4,3.4,16000,0
2006-02-01 00:00:00,3.4,3.425,3.35,3.4,9500,0
2006-02-02 00:00:00,3.4,3.4,3.375,3.375,6100,0
2006-02-03 00:00:00,3.375,3.375,3.375,3.375,6400,0
2006-02-06 00:00:00,3.4,3.425,3.375,3.4,6500,0
2006-02-07 00:00:00,3.375,3.4,3.375,3.375,9500,0
