Date,Open,High,Low,Close,Volume,OI
2003-11-17,3.8404,5.7945,3.8404,5.6253,133481144,0
2003-11-18,5.7099,5.7099,5.0755,5.0755,37873564,0
2003-11-19,5.2447,5.582999999999999,4.864,5.1601,26671924,0
2003-11-20,5.2447,5.4984,5.0755,5.1178,24031578,0
2003-11-21,5.1178,5.2024,4.7794,4.864,9568490,0
2003-11-24,4.9486,5.0755,4.6948,4.6948,7618759,0
2003-11-25,4.7371,4.7371,4.0604,4.0604,8312224,0
2003-11-26,4.0773,4.3564,4.0773,4.3564,9822653,0
2003-11-27,4.3987,4.6102,4.2719,4.3987,6337066,0
2003-11-28,4.441,4.864,4.3987,4.6102,11972640,0
2003-12-01,4.6525,4.7371,4.3987,4.441,5320648,0
2003-12-02,4.4833,4.5679,4.3564,4.3564,2279315,0
2003-12-03,4.3987,4.441,4.2296,4.2719,2114168,0
2003-12-04,4.3142,4.441,4.2126,4.2126,3744715,0
2003-12-08,4.2719,4.3142,4.2296,4.2296,1794040,0
2003-12-09,4.2719,4.3987,4.2719,4.2719,4526003,0
2003-12-11,4.3142,4.3564,4.2126,4.2296,6836527,0
2003-12-12,4.2719,4.3142,4.2126,4.2296,2320572,0
2003-12-15,4.2719,4.2719,4.1111,4.145,1823594,0
2003-12-16,4.1619,4.2126,4.0435,4.0435,1956941,0
2003-12-17,4.0435,4.1281,4.0265,4.0435,2490093,0
2003-12-18,4.0604,4.145,4.0604,4.0942,3228823,0
2003-12-19,4.145,4.1788,4.0773,4.0773,2701226,0
2003-12-22,4.0942,4.1281,4.0096,4.0096,2423301,0
2003-12-23,4.0096,4.0604,3.9419,3.9419,1522380,0
2003-12-24,3.925,4.0604,3.8404,3.9419,584812,0
2003-12-25,3.9419,3.9419,3.7051,3.7051,297075,0
2003-12-26,3.5697,3.7051,3.5021,3.5528,909669,0
2003-12-29,3.5528,3.8404,3.5021,3.6543,4470323,0
2003-12-30,3.7051,3.7389,3.5867,3.6036,693925,0
2003-12-31,3.6374,3.6543,3.6036,3.6205,722888,0
2004-01-05,3.6036,3.6205,3.5697,3.6205,267403,0
2004-01-06,3.6205,3.6543,3.5697,3.5697,492722,0
2004-01-07,3.5697,3.6374,3.5528,3.5528,493313,0
2004-01-08,3.5867,3.5867,3.5189999999999997,3.5189999999999997,209478,0
2004-01-09,3.5867,3.6713,3.5697,3.6036,1057438,0
2004-01-12,3.5867,3.8235,3.5528,3.8235,2688932,0
2004-01-13,4.0604,4.2719,4.0265,4.2296,5796584,0
2004-01-14,4.3142,4.5256,4.3142,4.3987,7618523,0
2004-01-15,4.6102,4.7371,4.3987,4.5256,6076282,0
2004-01-16,4.7371,4.9063,4.3142,4.3142,6695495,0
2004-01-19,4.441,4.4833,4.2126,4.2719,2077402,0
2004-01-20,4.2719,4.3142,4.2296,4.2719,738256,0
2004-01-21,4.2719,4.3142,4.1281,4.2296,179924,0
2004-01-22,4.2719,4.2719,3.6374,4.2296,487048,0
2004-01-23,4.0604,4.1619,4.0604,4.1619,369896,0
2004-01-26,4.0604,4.1111,4.0096,4.0096,69865,0
2004-01-27,3.9758,4.1281,3.9758,3.9927,425576,0
2004-01-28,4.0604,4.0604,3.9927,4.0096,86060,0
2004-01-29,3.9758,4.0942,3.9758,3.9927,420256,0
2004-01-30,4.0096,4.0096,3.9589,3.9589,287855,0
2004-02-02,3.8912,3.9419,3.6036,3.6036,222836,0
2004-02-03,3.6205,3.8066,3.5189999999999997,3.7728,703146,0
2004-02-04,3.722,3.8574,3.6543,3.8235,1062167,0
2004-02-05,3.8235,3.9081,3.8235,3.8743,893000,0
2004-02-06,3.925,4.0773,3.6713,3.8404,1290914,0
2004-02-09,3.9081,3.9927,3.9081,3.9081,158527,0
2004-02-10,3.925,4.0604,3.925,3.9927,765091,0
2004-02-11,4.0265,4.1619,3.925,4.145,5214372,0
2004-02-12,4.1619,4.441,4.1281,4.441,6421708,0
2004-02-13,4.4833,4.6102,4.2296,4.3142,1344111,0
2004-02-16,4.3142,4.3142,4.0773,4.1111,678321,0
2004-02-17,4.1111,4.2719,4.0773,4.2719,831173,0
2004-02-18,4.3142,4.441,4.1619,4.2296,886144,0
2004-02-19,4.1788,4.2296,4.1619,4.1619,536935,0
2004-02-20,4.1619,4.1619,4.1111,4.1281,312916,0
2004-02-23,4.1619,4.1619,4.1111,4.1281,80977,0
2004-02-24,4.145,4.1957,4.145,4.1619,265985,0
2004-02-25,4.1619,4.1788,4.145,4.145,916643,0
2004-02-26,4.1619,4.2719,4.1619,4.2296,4211431,0
2004-02-27,4.2719,4.441,4.2296,4.3987,3806779,0
2004-03-01,4.3987,4.5256,4.3564,4.3987,3435227,0
2004-03-02,4.4833,4.7794,4.4833,4.6525,6733088,0
2004-03-03,4.6525,4.7371,4.5256,4.7371,6621138,0
2004-03-04,4.7794,4.9063,4.6948,4.864,5424087,0
2004-03-08,4.9063,4.9063,4.7371,4.864,2283571,0
2004-03-09,4.864,4.9909,4.8217,4.864,3291004,0
2004-03-10,5.0755,5.0755,4.7794,4.8217,1873953,0
2004-03-11,4.8217,4.864,4.6102,4.6102,567671,0
2004-03-12,4.6525,4.864,4.6525,4.6525,1282875,0
2004-03-15,4.7371,4.7371,4.6102,4.6948,274378,0
2004-03-16,4.3142,4.4833,4.2296,4.4833,62772,0
2004-03-17,4.4833,4.4833,4.3142,4.3987,58989,0
2004-03-18,4.441,4.6102,4.441,4.4833,2229073,0
2004-03-19,4.5679,4.6102,4.441,4.441,699481,0
2004-03-22,4.4833,4.4833,4.2719,4.2719,490476,0
2004-03-23,4.2296,4.3564,4.2296,4.3564,104620,0
2004-03-24,4.3564,4.441,4.3564,4.3564,1148110,0
2004-03-25,4.3142,4.441,4.3142,4.3987,1350968,0
2004-03-26,4.441,4.441,4.3142,4.3564,330649,0
2004-03-29,4.2719,4.3987,4.2296,4.3142,62417,0
2004-03-30,4.3564,4.4833,4.3142,4.3987,421320,0
2004-03-31,4.3987,4.3987,4.2719,4.3142,67382,0
2004-04-01,4.3142,4.3987,4.3142,4.3987,318709,0
2004-04-02,4.3987,4.4833,4.3564,4.3564,1860831,0
2004-04-05,4.3564,4.3987,4.2296,4.2296,429004,0
2004-04-07,4.2719,4.2719,4.1957,4.2296,421793,0
2004-04-08,4.2296,4.2296,4.1788,4.2296,7092,0
2004-04-09,4.1957,4.2126,4.1957,4.2126,24825,0
2004-04-12,4.2719,4.2719,4.145,4.145,168457,0
2004-04-16,4.1788,4.1788,4.145,4.145,13003,0
2004-04-19,4.2296,4.3142,4.1788,4.2296,2514564,0
2004-04-20,4.3142,4.5256,4.3142,4.3564,7879070,0
2004-04-21,4.3564,4.3987,4.2296,4.2296,2450018,0
2004-04-22,4.2296,4.3564,4.2296,4.2719,1336427,0
2004-04-23,4.2719,4.3142,4.2296,4.2719,1594137,0
2004-04-26,4.2296,4.3142,4.2296,4.2719,44921,0
2004-04-27,4.2719,4.3142,4.2296,4.2719,617676,0
2004-04-28,4.2296,4.2719,4.2296,4.2296,261374,0
2004-04-29,4.2296,4.2296,4.1957,4.1957,172594,0
2004-04-30,4.2719,4.2719,4.1957,4.1957,111950,0
2004-05-04,4.1957,4.1957,4.1957,4.1957,119161,0
2004-05-06,4.2296,4.2296,4.1788,4.1957,148005,0
2004-05-07,4.1957,4.2296,4.145,4.2296,463523,0
2004-05-10,4.1788,4.1957,4.0265,4.0942,518375,0
2004-05-11,4.1111,4.3564,4.1111,4.3564,1044316,0
2004-05-12,4.3564,4.3987,4.2719,4.2719,1678661,0
2004-05-13,4.2719,4.2719,4.1957,4.2126,469434,0
2004-05-14,4.1957,4.2126,4.1788,4.2126,738847,0
2004-05-17,4.1619,4.1788,4.1111,4.1788,351573,0
2004-05-18,4.2126,4.2126,4.145,4.1957,444490,0
2004-05-19,4.1788,4.2126,3.4006,4.2126,899502,0
2004-05-20,4.2126,4.2126,4.0604,4.1957,63245,0
2004-05-21,4.1788,4.1788,4.0604,4.0604,270004,0
2004-05-24,4.1281,4.1957,4.1111,4.1281,1448141,0
2004-05-25,4.1281,4.1788,4.1111,4.1111,487757,0
2004-05-26,4.1788,4.1957,4.1281,4.1788,1302144,0
2004-05-27,4.145,4.1957,4.0604,4.1788,1755620,0
2004-05-28,4.1619,4.1619,4.0942,4.1111,565070,0
2004-05-31,4.1281,4.1957,4.0604,4.0604,3849336,0
2004-06-01,4.0942,4.145,4.0604,4.0604,1781272,0
2004-06-03,4.0773,4.145,4.0265,4.0604,2060970,0
2004-06-04,4.0773,4.1111,4.0096,4.0604,2161927,0
2004-06-07,4.0604,4.1281,3.9927,4.0604,2375306,0
2004-06-08,3.9927,3.9927,3.7051,3.7051,1259232,0
2004-06-09,3.7558,3.7728,3.6374,3.7389,498751,0
2004-06-10,3.722,3.7389,3.5867,3.6205,560105,0
2004-06-11,3.6036,3.6374,3.5528,3.6205,81095,0
2004-06-14,3.6374,3.6374,3.5697,3.5867,48941,0
2004-06-15,3.6374,3.6374,3.5359,3.5867,184652,0
2004-06-16,3.4852,3.6713,3.4852,3.6205,2082959,0
2004-06-17,3.5697,3.6543,3.5528,3.6543,635054,0
2004-06-18,3.6882,3.722,3.5867,3.722,1782455,0
2004-06-21,3.7051,3.7558,3.6205,3.722,1200479,0
2004-06-22,3.7389,3.7558,3.6543,3.6543,423566,0
2004-06-23,3.722,3.722,3.6205,3.722,483028,0
2004-06-24,3.8066,3.8066,3.6374,3.722,403351,0
2004-06-25,3.7051,3.722,3.6374,3.6882,143513,0
2004-06-28,3.6036,3.7051,3.6036,3.6205,1156266,0
2004-06-29,3.6036,3.6713,3.4513,3.5359,1699349,0
2004-06-30,3.5697,3.7051,3.5697,3.6036,3672013,0
2004-07-02,3.6205,3.6713,3.6036,3.6374,1556781,0
2004-07-05,3.6713,3.6713,3.6374,3.6374,361621,0
2004-07-06,3.6205,3.6713,3.6036,3.6036,857890,0
2004-07-07,3.6374,3.6543,3.5867,3.6374,701136,0
2004-07-08,3.6713,3.6713,3.5528,3.5528,789680,0
2004-07-09,3.6036,3.6205,3.5697,3.5697,231466,0
2004-07-12,3.5697,3.6036,3.5359,3.6036,179687,0
2004-07-13,3.5528,3.6036,3.5359,3.6036,108758,0
